Net refine_p2mpp | Start training | lr =  1e-05
Epoch 501, loss 0
Epoch 502, loss 0
Epoch 503, loss 0
Epoch 504, loss 0
Epoch 505, loss 0
Epoch 506, loss 0
Epoch 507, loss 0
Epoch 508, loss 0
Epoch 509, loss 0
Epoch 510, loss 0
Epoch 511, loss 0
Epoch 512, loss 0
Epoch 513, loss 0
Epoch 514, loss 0
Epoch 515, loss 0
Epoch 516, loss 0
Epoch 517, loss 0
Epoch 518, loss 0
Epoch 519, loss 0
Epoch 520, loss 0
Epoch 521, loss 0
Epoch 522, loss 0
Epoch 523, loss 0
Epoch 524, loss 0
Epoch 525, loss 0
Epoch 526, loss 0
Epoch 527, loss 0
Epoch 528, loss 0
Epoch 529, loss 0
Epoch 530, loss 0
Epoch 531, loss 0
Epoch 532, loss 0
Epoch 533, loss 0
Epoch 534, loss 0
Epoch 535, loss 0
Epoch 536, loss 0
Epoch 537, loss 0
Epoch 538, loss 0
Epoch 539, loss 0
Epoch 540, loss 0
Epoch 541, loss 0
Epoch 542, loss 0
Epoch 543, loss 0
Epoch 544, loss 0
Epoch 545, loss 0
Epoch 546, loss 0
Epoch 547, loss 0
Epoch 548, loss 0
Epoch 549, loss 0
Epoch 550, loss 0
Epoch 551, loss 0
Epoch 552, loss 0
Epoch 553, loss 0
Epoch 554, loss 0
Epoch 555, loss 0
Epoch 556, loss 0
Epoch 557, loss 0
Epoch 558, loss 0
Epoch 559, loss 0
Epoch 560, loss 0
Epoch 561, loss 0
Epoch 562, loss 0
Epoch 563, loss 0
Epoch 564, loss 0
Epoch 565, loss 0
Epoch 566, loss 0
Epoch 567, loss 0
Epoch 568, loss 0
Epoch 569, loss 0
Epoch 570, loss 0
Epoch 571, loss 0
Epoch 572, loss 0
Epoch 573, loss 0
Epoch 574, loss 0
Epoch 575, loss 0
Epoch 576, loss 0
Epoch 577, loss 0
Epoch 578, loss 0
Epoch 579, loss 0
Epoch 580, loss 0
Epoch 581, loss 0
Epoch 582, loss 0
Epoch 583, loss 0
Epoch 584, loss 0
Epoch 585, loss 0
Epoch 586, loss 0
Epoch 587, loss 0
Epoch 588, loss 0
Epoch 589, loss 0
Epoch 590, loss 0
Epoch 591, loss 0
Epoch 592, loss 0
Epoch 593, loss 0
Epoch 594, loss 0
Epoch 595, loss 0
Epoch 596, loss 0
Epoch 597, loss 0
Epoch 598, loss 0
Epoch 599, loss 0
Epoch 600, loss 0
Epoch 601, loss 0
Epoch 602, loss 0
Epoch 603, loss 0
Epoch 604, loss 0
Epoch 605, loss 0
Epoch 606, loss 0
Epoch 607, loss 0
Epoch 608, loss 0
Epoch 609, loss 0
Epoch 610, loss 0
Epoch 611, loss 0
Epoch 612, loss 0
Epoch 613, loss 0
Epoch 614, loss 0
Epoch 615, loss 0
Epoch 616, loss 0
Epoch 617, loss 0
Epoch 618, loss 0
Epoch 619, loss 0
Epoch 620, loss 0
Epoch 621, loss 0
Epoch 622, loss 0
Epoch 623, loss 0
Epoch 624, loss 0
Epoch 625, loss 0
Epoch 626, loss 0
Epoch 627, loss 0
Epoch 628, loss 0
Epoch 629, loss 0
Epoch 630, loss 0
Epoch 631, loss 0
Epoch 632, loss 0
Epoch 633, loss 0
Epoch 634, loss 0
Epoch 635, loss 0
Epoch 636, loss 0
Epoch 637, loss 0
Epoch 638, loss 0
Epoch 639, loss 0
Epoch 640, loss 0
Epoch 641, loss 0
Epoch 642, loss 0
Epoch 643, loss 0
Epoch 644, loss 0
Epoch 645, loss 0
Epoch 646, loss 0
Epoch 647, loss 0
Epoch 648, loss 0
Epoch 649, loss 0
Epoch 650, loss 0
Epoch 651, loss 0
Epoch 652, loss 0
Epoch 653, loss 0
Epoch 654, loss 0
Epoch 655, loss 0
Epoch 656, loss 0
